"","ind_ID","X.1","X.x","pop_ID","prob_CA","prob_BC","latitude","longitude","Sp_by_locality","Sp_assigned","X.y","group","n","mean.size","min.size","max.size","sd.size"
"1","HZ16",24,24,7,0.955,0.045,38.305758,-93.736445,"HZ","CA",5,"Om.NO",100,34.687247871511,31.1298581129561,37.2849771984622,1.37446509703067
"2","HZ20",28,28,7,0.988,0.012,38.292864,-93.731253,"HZ","CA",9,"Ym.NG",100,32.5223548819045,30.7728698259244,35.1714202862804,1.07762275607316
"3","HZ22",30,30,7,0.983,0.017,38.3039234,-93.7368831,"HZ","CA",3,"Nm.GR",100,36.8609628927529,35.0031920383047,38.4992090195378,0.953843212953498
"4","HZ24",32,32,7,0.738,0.262,38.3024837,-93.7347487,"HZ","HY",1,"Gm.GO",100,17.0853366987886,15.9689768090704,17.9853674976385,0.558029379499177
"5","HZ25",33,33,7,0.988,0.012,38.294238,-93.728243,"HZ","CA",6,"Om.YR",100,20.5452900848578,17.0754828651087,21.5558649028828,0.908977231336603
"6","HZ27",35,35,7,0.777,0.223,38.2877361,-93.7271702,"HZ","HY",10,"Ym.WG",100,27.1619443435896,26.0822370849174,27.8825057067484,0.404598759075211
"7","HZ28",36,36,7,0.502,0.498,38.2957915,-93.7325195,"HZ","HY",2,"Gm.RB",100,30.4099527820169,30.4099527820169,30.4099527820169,0
"8","HZ3",17,12,7,0.783,0.217,38.291495,-93.731487,"HZ","HY",7,"Rm.RR",100,24.5237335170771,22.1015884490886,25.0718129805289,0.651877145959696
"9","HZ30",37,37,7,0.983,0.017,38.3044373,-93.7369337,"HZ","CA",8,"Rm.YB",100,35.8988595024219,31.5688996851829,37.1007514991589,1.13091637250598
"10","HZ36",43,43,7,0.867,0.133,38.2959868,-93.7329684,"HZ","HY",4,"Nm.RY",100,29.10986929864,29.10986929864,29.10986929864,0
