"","X","file_names","include","threshold","trim_s","trim_f"
"89",89,"Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.51.wav","Y",10,NA,NA
"160",160,"Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.13.wav","Y",9,NA,NA
"164",164,"Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.35.wav","Y",10,NA,NA
"175",175,"Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.04.wav","Y",10,NA,NA
"228",228,"Poecile.sp_Gm.RB_May012022_SparrowfootPUA.HenryCO.MO_JPM_a_1.21.wav","Y",10,NA,NA
"247",247,"Poecile.sp_Nm.GR_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_b_0.10.wav","Y",10,NA,NA
"254",254,"Poecile.sp_Nm.GR_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_b_0.37.wav","Y",12,NA,NA
"255",255,"Poecile.sp_Nm.GR_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_b_0.46.wav","Y",15,NA,NA
"266",266,"Poecile.sp_Nm.GR_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_d_2.03.wav","Y",11,NA,NA
"346",346,"Poecile.sp_Nm.GR_Mar172022_SparrowfootPUA.HenryCO.MO_ZHV_a_0.33.wav","Y",10,NA,NA
"355",355,"Poecile.sp_Nm.GR_Mar272022_SparrowfootPUA.HenryCO.MO_SMP_a_0.04.wav","Y",10,NA,NA
"356",356,"Poecile.sp_Nm.GR_Mar272022_SparrowfootPUA.HenryCO.MO_SMP_a_0.10.wav","Y",10,NA,NA
"361",361,"Poecile.sp_Nm.GR_Mar272022_SparrowfootPUA.HenryCO.MO_SMP_a_0.31.wav","Y",6,NA,NA
"363",363,"Poecile.sp_Nm.GR_Mar272022_SparrowfootPUA.HenryCO.MO_SMP_a_0.51.wav","Y",10,NA,NA
"376",376,"Poecile.sp_Nm.RY_Apr022023_SparrowfootPUA.HenryCO.MO_smp_a_0.11.wav","Y",10,NA,NA
"403",403,"Poecile.sp_Nm.RY_Apr032023_SparrowfootPUA.HenryCO.MO_smp_b_0.25.wav","Y",9,NA,NA
"413",413,"Poecile.sp_Nm.RY_Apr032023_SparrowfootPUA.HenryCO.MO_smp_d_2.11.wav","Y",10,NA,NA
"419",419,"Poecile.sp_Nm.RY_Mar052023_SparrowfootPUA.HenryCO.MO_smp_a_1.23.wav","Y",13,NA,NA
"422",422,"Poecile.sp_Nm.RY_Mar052023_SparrowfootPUA.HenryCO.MO_smp_a_1.49.wav","Y",10,NA,NA
"442",442,"Poecile.sp_Nm.RY_Mar062023_SparrowfootPUA.HenryCO.MO_smp_a_0.36.wav","Y",10,NA,NA
"444",444,"Poecile.sp_Nm.RY_Mar062023_SparrowfootPUA.HenryCO.MO_smp_a_5.05.wav","Y",13,NA,NA
"475",475,"Poecile.sp_Nm.RY_Mar302023_SparrowfootPUA.HenryCO.MO_smp_b_0.05.wav","Y",10,NA,NA
"716",716,"Poecile.sp_Om.YR_Apr182022_SparrowfootPUA.HenryCO.MO_SMP_b_0.08.wav","Y",9,NA,NA
"789",789,"Poecile.sp_Om.YR_May012022_SparrowfootPUA.HenryCO.MO_JPM_b_0.09.wav","Y",10,NA,NA
"793",793,"Poecile.sp_Om.YR_May012022_SparrowfootPUA.HenryCO.MO_JPM_b_0.54.wav","Y",9,NA,NA
"910",910,"Poecile.sp_Rm.YB_Apr022023_SparrowfootPUA.HenryCO.MO_smp_b_0.07.wav","Y",10,NA,NA
"917",917,"Poecile.sp_Rm.YB_Apr022023_SparrowfootPUA.HenryCO.MO_smp_b_3.45.wav","Y",10,NA,NA
"965",965,"Poecile.sp_Rm.YB_Mar222023_SparrowfootPUA.HenryCO.MO_smp_a_0.37.wav","Y",10,NA,NA
"975",975,"Poecile.sp_Rm.YB_Mar252023_SparrowfootPUA.HenryCO.MO_smp_a_1.05.wav","Y",10,NA,NA
"1013",1013,"Poecile.sp_Rm.YB_Mar302023_SparrowfootPUA.HenryCO.MO_smp_b_0.01.wav","Y",9,NA,NA
"1014",1014,"Poecile.sp_Rm.YB_Mar302023_SparrowfootPUA.HenryCO.MO_smp_b_0.09.wav","Y",9.5,NA,NA
"1018",1018,"Poecile.sp_Rm.YB_Mar302023_SparrowfootPUA.HenryCO.MO_smp_b_2.53.wav","Y",10,NA,NA
"1079",1079,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_10.46.wav","Y",10,0.35,2
"1081",1081,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_11.00.wav","Y",10,NA,NA
"1084",1084,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_11.16.wav","Y",10,NA,NA
"1088",1088,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_11.41.wav","Y",8,NA,NA
"1089",1089,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_11.46.wav","Y",10,NA,NA
"1092",1092,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_12.00.wav","Y",10,0,1.75
"1135",1135,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_7.39.wav","Y",9,0.4,1.3
"1144",1144,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_b_0.17.wav","Y",10,0.2,1
"1153",1153,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_b_0.49.wav","Y",18,NA,NA
"1157",1157,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_b_1.05.wav","Y",9,0.1,1.4
"1165",1165,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_b_1.42.wav","Y",10,NA,NA
"1167",1167,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_b_1.55.wav","Y",8,NA,NA
"1233",1233,"Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_e_1.09.wav","Y",8,NA,NA
