"","group","n","mean.size","min.size","max.size","sd.size"
"1","Gm.GO",100,16.8315785903818,15.181725810957,17.8723039140655,0.667885965393727
"2","Gm.RB",100,30.4099527820169,30.4099527820169,30.4099527820169,0
"3","Nm.GR",100,36.8528149907769,34.7199254808944,38.5966807637379,0.986142712104564
"4","Nm.RY",100,29.10986929864,29.10986929864,29.10986929864,0
"5","Om.NO",100,34.7232275219657,31.5731972815563,37.9540231672351,1.61934662018568
"6","Om.YR",100,20.4481663561625,19.2530212860441,21.568143968577,0.636043151373504
"7","Rm.RR",100,24.6435419838795,22.079930708907,25.0123948608583,0.519185928406235
"8","Rm.YB",100,35.9302516265862,33.8493394677285,36.9964396143631,0.817141579600327
"9","Ym.NG",100,32.6260738582961,30.451833601795,34.6445586831013,1.04441620523353
"10","Ym.WG",100,27.1066526045087,25.8273673311567,27.925207434305,0.468643716177064
