,X,file_names,include,threshold,trim_s,trim_f
1,1,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.08.wav,Y,8,NA,NA
2,2,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.23.wav,Y,8,NA,NA
3,3,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.32.wav,Y,8,NA,NA
4,4,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.35.wav,Y,10,NA,NA
5,5,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.43.wav,Y,8,NA,NA
6,6,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.52.wav,Y,8,NA,NA
7,7,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.54.wav,Y,10,NA,NA
8,8,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.57.wav,Y,10,NA,NA
9,9,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.59.wav,Y,10,NA,NA
10,10,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.01.wav,Y,10,NA,NA
11,11,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.04.wav,Y,10,NA,NA
12,12,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.07.wav,Y,10,NA,NA
13,13,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.21.wav,Y,10,NA,NA
14,14,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.24.wav,Y,9,NA,NA
15,15,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_2.17.wav,Y,9,NA,NA
16,16,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_2.47.wav,Y,10,NA,NA
17,17,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_2.52.wav,Y,9,NA,NA
18,18,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_2.55.wav,Y,8,NA,NA
19,19,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_2.58.wav,Y,8,NA,NA
20,20,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.11.wav,Y,10,NA,NA
21,21,Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.16.wav,Y,10,NA,NA
